era,season_number,serial_title,story_number,episode_number,episode_title,type,first_aired,production_code,uk_viewers,rating_episodes,duration,air_date,rating_imdb,rating_n,desc,director,writer
revived,10.0,,276,0.0,Twice Upon a Time,special,25-12-2017,,7.92,81.0,60.0,25 Dec. 2016,7.4,4844.0,"In New York, with brain-swapping aliens poised to attack, the Doctor and Nardole link up with an investigative reporter and a mysterious masked superhero known only as the Ghost. Can the Doctor save Manhattan? And what will be revealed when we see behind the mask?",Rachel Talalay,Steven Moffat
revived,11.0,,277,1.0,The Woman Who Fell to Earth,episode,07-10-2018,,10.96,83.0,64.0,7 Oct. 2018,6.8,10091.0,"In a South Yorkshire city, Ryan Sinclair, Yasmin Khan and Graham O'Brien are about to have their lives changed forever, as a mysterious woman, unable to remember her own name, falls from the night sky.",Jamie Childs,Chris Chibnall
revived,11.0,,278,2.0,The Ghost Monument,episode,14-10-2018,,9.0,82.0,49.0,14 Oct. 2018,5.9,7791.0,"Still reeling from their first encounter, can the Doctor and her new friends stay alive long enough, in a hostile alien environment, to solve the mystery of Desolation? And just who are Angstrom and Epzo?",Mark Tonderai,Chris Chibnall
revived,11.0,,279,3.0,Rosa,episode,21-10-2018,,8.41,83.0,50.0,21 Oct. 2018,6.9,9174.0,"Montgomery, Alabama, 1955. The Doctor and her friends find themselves in the Deep South of America. As they encounter a seamstress by the name of Rosa Parks, they begin to wonder whether someone is attempting to change history.",Mark Tonderai,Malorie Blackman
revived,11.0,,279,3.0,Rosa,episode,21-10-2018,,8.41,83.0,50.0,21 Oct. 2018,6.9,9174.0,"Montgomery, Alabama, 1955. The Doctor and her friends find themselves in the Deep South of America. As they encounter a seamstress by the name of Rosa Parks, they begin to wonder whether someone is attempting to change history.",Mark Tonderai,Chris Chibnall
revived,11.0,,280,4.0,Arachnids in the UK,episode,28-10-2018,,8.22,83.0,49.0,28 Oct. 2018,4.9,7109.0,"The Doctor, Yaz, Graham, and Ryan find their way back to Yorkshire only to find something is stirring amidst the eight-legged arachnid population of Sheffield.",Sallie Aprahamian,Chris Chibnall
revived,11.0,,281,5.0,The Tsuranga Conundrum,episode,04-11-2018,,7.76,79.0,51.0,4 Nov. 2018,4.9,6577.0,"Injured and stranded in the wilds of a far-flung galaxy, The Doctor, Yaz, Graham, and Ryan must band together with a group of strangers to survive against one of the universe's most deadly - and unusual - creatures.",Jennifer Perrott,Chris Chibnall
revived,11.0,,282,6.0,Demons of the Punjab,episode,11-11-2018,,7.48,80.0,50.0,11 Nov. 2018,6.4,6644.0,"Yasmin travels in time to visit her grandmother during her youth in the partition of India, but everyone gets caught up in the tragic bloodshed of that era.",Jamie Childs,Vinay Patel
revived,11.0,,283,7.0,Kerblam!,episode,18-11-2018,,7.46,81.0,49.0,18 Nov. 2018,6.1,5843.0,"A mysterious message arrives in a package addressed to the Doctor, leading her, Graham, Yaz and Ryan to investigate the warehouse moon orbiting Kandoka, and the home of the galaxy's largest retailer.",Jennifer Perrott,Pete McTighe
revived,11.0,,284,8.0,The Witchfinders,episode,25-11-2018,,7.21,81.0,47.0,25 Nov. 2018,5.5,5499.0,"Arriving in 17th Century Lancashire, the TARDIS team become embroiled in a witch trial. With the arrival of King James I, the hunt for witches intensifies. However, could something more dangerous be at play? Can the Doctor, Graham, Yaz and Ryan keep the populace of Bilehurst Cragg safe from the forces surrounding the land?",Sallie Aprahamian,Joy Wilkinson
